Date,Asset,Volume
2025-11-01,Gold,1500
2025-11-01,Silver,3200
2025-11-01,Oil,5000
2025-11-01,Bitcoin,1200
2025-11-02,Gold,1600
2025-11-02,Silver,3100
2025-11-02,Oil,4800
2025-11-02,Bitcoin,1300
2025-11-03,Gold,1550
2025-11-03,Silver,3300
2025-11-03,Oil,5100
2025-11-03,Bitcoin,1250
2025-11-04,Gold,1620
2025-11-04,Silver,3400
2025-11-04,Oil,4950
2025-11-04,Bitcoin,1400
2025-11-05,Gold,1580
2025-11-05,Silver,3250
2025-11-05,Oil,5050
2025-11-05,Bitcoin,1350











